recid,givenname,surname,suburb,postcode
06937828,davie,scott,frankiinton,27525
01761680,glencla,waddell,rockingam,28379
00567333,lina,doss,advance,270o6
04745049,kevyn,adams,morrisvi|le,2756o
00406646,mildred,morison,raleighz,27616
02347140,kia,mccormick,raleigj,276o3
05381947,christopher,mumpoweah,matthews,28205
00197217,veronica,eatmon,wilsn,278q3
01341351,bedty,horne,nags bead,27959
03871619,diffany,loweyr,monroe,28112
05489721,danny,burnrtt,arden,2870q
05029442,theesa,mopre,chocowinity,27817
06755315,danhah,southe5land,brevard,28712
07821559,lara,buchanan,charlotte,2821o
00682140,benjanin,piggott,winston sqlem,27107
00200750,green,cooper,raleigh,27612
05067003,david,cone,boone,28608
05215974,stephen,shinn,littleton,27850
00042107,blennie,fairrington,jamestown,27282
00607665,inez,mclean,raleigh,27616
00906372,mary,davis,henderson,27536
02639725,melissa,gladson,bridgeton,28519
05262747,crystal,alfrey,valdese,28690
01462296,eva,lindsey,monroe,28112
02377107,shannon,garmon,buies creek,27506
00243196,swanson,simmons,pilot mountain,27041
05000324,maxine,alston,raleigh,27609
03763131,james,smith,spring lake,28390
05801593,molly,stevenson,nashville,27856
08051919,danelle,ramseur,salisbury,28147
02971502,kraig,bauer,durham,27704
05843117,carol,farmer,laurinburg,28352
04476021,elliot,aiken,pisgah forest,28768
07895995,espanya,norman,raleigh,27610
03267517,wiletta,williams,fayetteville,28311
01598266,samuel,wilson,hendersonville,28792
00366497,green,isaac,mocksville,27028
04581816,trela,hendrix,high point,27262
07086055,courtney,tapkas,greenville,27834
04451428,alice,staples,thurmond,28683
00091729,ray,hyder,hendersonville,28792
07280797,jamie,vartanian,greensboro,27455
06763944,kayla,shumate,lexington,27295
05365451,william,coleman,charlotte,28206
07436188,marian,maris,burlington,27217
05288470,jannetje,van leeuwen,carrboro,27510
00933032,maureen,carosella,charlotte,28277
07830343,gala,malherbe,raleigh,27606
05208532,david,moninger,fuquay varina,27526
06738108,kenneth,ingle,shelby,28150
03616972,john,trouten,waxhaw,28173
02483666,patricia,sager,greensboro,27410
02320858,doris,hensley,arden,28704
07439370,linda,burt,franklinton,27525
00946573,jean,smith,raleigh,27612
03305227,shawn,heck,holly springs,27540
01504301,tona,jacobs,red springs,28377
02232152,cory,baucom,charlotte,28213
00588121,eric,boone,gates,27937
00950862,mary,joiner,durham,27707
05540332,rachel,klein,fairview,28730
03254390,jeffery,hanson,raleigh,27603
03563546,lawanda,carey,durham,27704
05620099,melissa,preslar,charlotte,28227
01072026,sheryl,cannon,charlotte,28208
04384911,diane,garrett,durham,27704
04753037,charles,calhoun,laurinburg,28352
03069069,wanda,moss,charlotte,28227
07353354,zakee,cromartie,wake forest,27587
02991684,alan,davis,lumberton,28358
07778717,scott,greenblatt,pinehurst,28374
03442068,kay,shoemaker,lenoir,28645
00653600,michael,penland,candler,28715
00373077,marjorie,niblock,durham,27707
05209137,diane,bailey,vale,28168
07070096,ross,loomis,durham,27713
08155164,jennifer,villareal,raleigh,27614
07399358,jessica,bradley,rutherfordton,28139
07062410,amber,escutia,jonesville,28642
00801005,charles,blake,rutherfordton,28139
06400623,ashraf,patel,franklin,28734
00609394,barbara,taylor,charlotte,28209
00216852,vernon,smith,durham,27704
02035715,tonia,holloway,pelham,27311
04452886,candice,fink,wilmington,28412
07696253,matthew,negron,concord,28025
06778642,matthew,james,southport,28461
04522143,carrie,bittle,charlotte,28203
05216674,tinya,lary,charlotte,28212
03155618,randall,wingfield,statesville,28677
04381862,eric,throneburg,morrisville,27560
01124670,randy,pittman,cleveland,27013
00251967,betty,bowden,advance,27006
00063809,william,mcdaniel,winston salem,27106
05483094,scott,blakeman,wake forest,27587
05125467,jennifer,dryman,salisbury,28146
02425955,susan,foote,raleigh,27604
03331940,alexander,walle,greensboro,27403
02158195,ernest,cave,goldsboro,27534
08195071,chassity,miller,albemarle,28001
