recid,givenname,surname,suburb,postcode
03035142,george,thmas,mt gilebd,27306
01038086,evangekine,miler,gold hill,28071
01241777,sarah,pope,conwsy,27826
06089938,carlo,scott,concord,28037
06276518,cayjron,mcdonald,charlott3,28277
05659096,peter,mabon,durhak,27713
07560009,iyanag,bailsy,charlotte,28262
08117157,crysal,degroff,fayettevi|le,28303
02267384,kathy,crscker,nazshville,27856
00907645,katby,treadway,wilkesboro,28694
00165233,harry,kellaiii,raleigh,27619
03450740,lary,devvalt,leasburg,27291
05104654,timo5hy,thomas,shelby,28l50
01137823,phyllis,macon,seagr0ve,2734|
07634017,bic,lei,bajner elk,28604
07634164,jael,dejesus,jacksonvile,28536
07459908,demetra,woods,madijon,2702s
07064738,rubyj,grigsby,boonville,270l1
03489265,anthnoy,dafis,wilson,27893
00400984,levvis,lea,chadbourn,28431
05687403,deron,mccomsb,durham,27702
05068631,terrt,andersno,troutman,28166
06499814,kathy,mooe,raleigh,27106
07078450,lena,raxyer,raleigh,276o8
01842441,jefferv,judy,hundersville,28078
07164212,khalil,smith,winjton salem,271o4
02607845,edwarcl,bahch,north wilkesboro,28659
06952540,casxy,hughes,marion,28772
06227285,shells,wimbisth,granite falls,28630
04521407,sarah,froeebr,carrbofo,27510
05892196,matthew,cozon,chapel hil,27515
03904486,roxabnne,armstrong,wi|son,27896
06888718,brandon,jennings,fuqauy varina,27546
05202495,christopher,pryant,wendell,2759|
00033071,ro6,whitehead,knightdale,27595
05777611,craig,pecl<,chapel hikl,27514
04108275,mawry ann,paintemr,boone,28607
00487420,jtephen,gilreat,belmont,28012
07808604,david,hiuzenga,denvet,28037
00693019,angela,collihs,lincolnyon,28092
04246505,phyllis,brockman,canuon,28916
06824637,anthony,worlye,koncord,28027
06079177,salia,mckay,charlotte,28869
05994146,anteony,sims,winterveille,28590
01042311,robert,sifford,rocl<well,28l38
00144211,evelym,dawsoh,goldsboro,27534
03013030,bishop,mijter,greensboro,274o5
03905189,matthevv,carter,wilm'lngton,28403
05247776,samuel,overyon,elisabeth city,27909
